From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
NP_414542.1,P0AD86,reviewed,LPT_ECOLI,thr operon leader peptide (thr operon attenuator),thrL b0001 JW4367,Escherichia coli (strain K12),21
NP_414543.1,P00561,reviewed,AK1H_ECOLI,Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)],thrA thrA1 thrA2 b0002 JW0001,Escherichia coli (strain K12),820
NP_414544.1,P00547,reviewed,KHSE_ECOLI,Homoserine kinase (HK) (HSK) (EC 2.7.1.39),thrB b0003 JW0002,Escherichia coli (strain K12),310
NP_414545.1,P00934,reviewed,THRC_ECOLI,Threonine synthase (TS) (EC 4.2.3.1),thrC b0004 JW0003,Escherichia coli (strain K12),428
NP_414546.1,P75616,reviewed,YAAX_ECOLI,Uncharacterized protein YaaX,yaaX b0005 JW0004,Escherichia coli (strain K12),98
NP_414547.1,P0A8I3,reviewed,YAAA_ECOLI,Peroxide stress resistance protein YaaA (UPF0246 protein YaaA),yaaA b0006 JW0005,Escherichia coli (strain K12),258
NP_414548.1,P30143,reviewed,YAAJ_ECOLI,Uncharacterized transporter YaaJ,yaaJ b0007 JW0006,Escherichia coli (strain K12),476
NP_414549.1,P0A870,reviewed,TALB_ECOLI,Transaldolase B (EC 2.2.1.2),talB yaaK b0008 JW0007,Escherichia coli (strain K12),317
NP_414550.1,P0AF03,reviewed,MOG_ECOLI,Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75),mog chlG mogA yaaG b0009 JW0008,Escherichia coli (strain K12),195
NP_414551.1,P0AC98,reviewed,SATP_ECOLI,Succinate-acetate/proton symporter SatP (Succinate-acetate transporter protein),satP yaaH b0010 JW0009,Escherichia coli (strain K12),188
NP_414552.1,P75617,reviewed,YAAW_ECOLI,UPF0174 protein YaaW,yaaW b0011 JW0010,Escherichia coli (strain K12),237
NP_414554.1,P28696,reviewed,YAAI_ECOLI,UPF0412 protein YaaI,yaaI b0013 JW0012,Escherichia coli (strain K12),134
NP_414555.1,P0A6Y8,reviewed,DNAK_ECOLI,Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70),dnaK groP grpF seg b0014 JW0013,Escherichia coli (strain K12),638
NP_414556.1,P08622,reviewed,DNAJ_ECOLI,Chaperone protein DnaJ (HSP40) (Heat shock protein J),dnaJ groP b0015 JW0014,Escherichia coli (strain K12),376
NP_414557.1,P0CF91,reviewed,INSL1_ECOLI,Putative transposase InsL for insertion sequence element IS186A,insL1 b0016 JW0015,Escherichia coli (strain K12),370
NP_414557.1,P0CF92,reviewed,INSL2_ECOLI,Putative transposase InsL for insertion sequence element IS186B,insL2 b0582 JW0572,Escherichia coli (strain K12),370
NP_414557.1,P0CF93,reviewed,INSL3_ECOLI,Putative transposase InsL for insertion sequence element IS186C,insL3 b2394 JW5390,Escherichia coli (strain K12),370
NP_414559.1,P33236,reviewed,MOKC_ECOLI,Regulatory protein MokC,mokC gefL b0018 JW5879,Escherichia coli (strain K12),69
NP_414560.1,P13738,reviewed,NHAA_ECOLI,Na(+)/H(+) antiporter NhaA (Na(+)/H(+) exchanger) (Na(+)/Li(+)/H(+) antiporter) (Sodium/proton antiporter NhaA),nhaA ant b0019 JW0018,Escherichia coli (strain K12),388
NP_414561.1,P0A9G2,reviewed,NHAR_ECOLI,Transcriptional activator protein NhaR (Na(+)/H(+) antiporter regulatory protein),nhaR antO b0020 JW0019,Escherichia coli (strain K12),301
